"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_x5_class","0.379381","0.0030350480000000007","0.0024509993210593646","0.0119065","x4=v2_x5=v2_class=class3","1.1000000000000159E-5","x4=v1_x5=v2_class=class1"
"x3_x4_class","0.4406660000000001","0.003525327999999998","0.0039037137724723023","0.0331505","x3=v1_x4=v3_class=class3","1.4499999999999973E-5","x3=v4_x4=v5_class=class3"
"x3_x5_class","0.4545490000000002","0.003636391999999998","0.0037581331959406043","0.018307","x3=v1_x5=v2_class=class3","1.3500000000000057E-5","x3=v4_x5=v4_class=class3"
"x2_x4_class","0.5021120000000001","0.004016896000000002","0.004377348123517203","0.032316","x2=v3_x4=v3_class=class3","1.1600000000000022E-4","x2=v4_x4=v3_class=class3"
"x2_x5_class","0.511559","0.004092472000000008","0.0044144682603041744","0.0274895","x2=v3_x5=v2_class=class3","3.399999999999931E-5","x2=v4_x5=v3_class=class1"
"x2_x3_class","0.6156680000000002","0.004925343999999997","0.00755105988441135","0.071892","x2=v3_x3=v1_class=class3","0.0","x2=v3_x3=v1_class=class5"
"x1_x4_class","0.6560830000000003","0.005248663999999998","0.006514327306430681","0.032125","x1=v2_x4=v3_class=class3","0.0","x1=v1_x4=v1_class=class1"
"x1_x5_class","0.6679270000000003","0.005343416000000002","0.006905058729061292","0.031175","x1=v2_x5=v2_class=class4","0.0","x1=v1_x5=v1_class=class1"
"x1_x3_class","0.6874170000000003","0.005499335999999998","0.008595792549774038","0.053984500000000005","x1=v2_x3=v1_class=class3","0.0","x1=v1_x3=v1_class=class1"
"x1_x2_class","0.7073240000000001","0.00565859199999999","0.009721485421095384","0.06990099999999999","x1=v2_x2=v3_class=class3","0.0","x1=v1_x2=v1_class=class1"
