"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_x5_class","0.3128632605953399","0.012692332515836888","0.010805516603040601","0.0645917554921849","x4=v3_x5=v1_class=class5","1.2152425067852787E-4","x4=v5_x5=v4_class=class3"
"x3_x4_class","0.4059549542880726","0.016011368270908904","0.015321878792570317","0.08150768162247922","x3=v1_x4=v3_class=class3","6.768895232822994E-5","x3=v4_x4=v1_class=class3"
"x3_x5_class","0.43461586672052677","0.01743073035683342","0.015337066781712955","0.08139189403102078","x3=v2_x5=v2_class=class4","5.057216055654387E-4","x3=v3_x5=v1_class=class2"
"x2_x4_class","0.46510280750857647","0.018649952641587184","0.016336213123165882","0.08560647235998822","x2=v3_x4=v4_class=class5","1.1962500292940492E-4","x2=v2_x4=v3_class=class1"
"x2_x5_class","0.4915398687839866","0.019534089347334357","0.013892899993953933","0.0673232145482975","x2=v3_x5=v2_class=class3","1.499367024761257E-4","x2=v2_x5=v4_class=class3"
"x2_x3_class","0.6013922176662059","0.02383809623372313","0.028820562947662977","0.1932346893520945","x2=v3_x3=v1_class=class3","0.0","x2=v5_x3=v1_class=class2"
"x1_x4_class","0.6313121902470203","0.023799555568399508","0.025134374085568234","0.11164331382511311","x1=v2_x4=v1_class=class2","0.0","x1=v1_x4=v1_class=class1"
"x1_x5_class","0.6447282930336246","0.02428773339507292","0.026967605411103365","0.1398542039478558","x1=v2_x5=v2_class=class4","0.0","x1=v1_x5=v1_class=class1"
"x1_x3_class","0.6707220843269529","0.025548377845581692","0.035635984972838035","0.20751227199053207","x1=v2_x3=v2_class=class4","0.0","x1=v1_x3=v1_class=class1"
"x1_x2_class","0.6979157798946238","0.026759327504683454","0.03820571612485614","0.220508373757697","x1=v2_x2=v2_class=class4","0.0","x1=v1_x2=v1_class=class1"
