"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_x5_class","class=class1","0.15293050000000002","0.2545433833950978","0.010181735335803912","0.00918029041366149","0.03804587295558321","x4=v5_x5=v3","8.145920104637178E-4","x4=v3_x5=v2"
"x4_x5_class","class=class2","0.16549149999999999","0.28793901004167743","0.011517560401667097","0.0071116574140593644","0.031920487586930384","x4=v3_x5=v4","3.845282418912417E-4","x4=v2_x5=v4"
"x4_x5_class","class=class3","0.274022","0.2715416864242767","0.010861667456971076","0.007411839671619333","0.025407059264418226","x4=v2_x5=v2","1.2152425067852787E-4","x4=v5_x5=v4"
"x4_x5_class","class=class4","0.28464750000000005","0.3519682560491279","0.014078730241965121","0.008978808961839467","0.040169759282057085","x4=v4_x5=v2","6.228322724131201E-4","x4=v2_x5=v2"
"x4_x5_class","class=class5","0.1229085","0.4205492285694342","0.01682196914277736","0.016885874871980452","0.0645917554921849","x4=v3_x5=v1","0.0012692074966682773","x4=v5_x5=v1"
"x3_x4_class","class=class1","0.15293050000000002","0.36401006473905234","0.014560402589562087","0.015109271580706293","0.07726632624455404","x3=v2_x4=v5","7.817519588615429E-5","x3=v1_x4=v3"
"x3_x4_class","class=class2","0.16549149999999999","0.42939680188129836","0.017175872075251918","0.016809132141767696","0.07980145345761035","x3=v2_x4=v1","7.110482114359891E-4","x3=v1_x4=v3"
"x3_x4_class","class=class3","0.274022","0.34368438813086793","0.013747375525234732","0.015900763087098972","0.08150768162247922","x3=v1_x4=v3","6.768895232822994E-5","x3=v4_x4=v1"
"x3_x4_class","class=class4","0.28464750000000005","0.4872951618566089","0.019491806474264364","0.012409064480458663","0.05297460012798853","x3=v2_x4=v2","3.406142926264642E-4","x3=v1_x4=v3"
"x3_x4_class","class=class5","0.1229085","0.37703461725578175","0.015081384690231282","0.015435769271741107","0.07785747913449372","x3=v2_x4=v3","8.543905059211036E-4","x3=v5_x4=v4"
"x3_x5_class","class=class1","0.15293050000000002","0.41251928965864504","0.016500771586345792","0.014128259343305393","0.06734126015164321","x3=v2_x5=v3","0.001698230664107658","x3=v3_x5=v2"
"x3_x5_class","class=class2","0.16549149999999999","0.3865692066665392","0.015462768266661573","0.01630492518941884","0.07041821778213672","x3=v2_x5=v4","5.057216055654387E-4","x3=v3_x5=v1"
"x3_x5_class","class=class3","0.274022","0.4104406464820104","0.01641762585928042","0.011122787412756846","0.0436181055489695","x3=v1_x5=v2","6.890064364983919E-4","x3=v2_x5=v3"
"x3_x5_class","class=class4","0.28464750000000005","0.46957566319129673","0.018783026527651875","0.016210849882058117","0.08139189403102078","x3=v2_x5=v2","0.0045453644006221774","x3=v3_x5=v4"
"x3_x5_class","class=class5","0.1229085","0.4997364886056833","0.01998945954422733","0.01771281444050865","0.07035062775883413","x3=v2_x5=v1","0.002585096593555776","x3=v5_x5=v3"
"x2_x4_class","class=class1","0.15293050000000002","0.5167529860084475","0.020670119440337902","0.013966260403922936","0.05294364270478975","x2=v3_x4=v5","1.1962500292940492E-4","x2=v2_x4=v3"
"x2_x4_class","class=class2","0.16549149999999999","0.4670977493428833","0.018683909973715343","0.013719301781612608","0.050556482631574765","x2=v3_x4=v1","4.895176550881106E-4","x2=v3_x4=v5"
"x2_x4_class","class=class3","0.274022","0.47326189162602017","0.018930475665040795","0.018941580787424892","0.07574821619734867","x2=v3_x4=v3","3.3273450535994953E-4","x2=v4_x4=v2"
"x2_x4_class","class=class4","0.28464750000000005","0.44301282937985864","0.017720513175194352","0.013845568422935037","0.06163735461146859","x2=v2_x4=v1","0.003614360754708293","x2=v3_x4=v5"
"x2_x4_class","class=class5","0.1229085","0.4311186238411927","0.01724474495364772","0.01994642772341971","0.08560647235998822","x2=v3_x4=v4","1.3746021925134695E-4","x2=v1_x4=v3"
