"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_x5_class","0.30568025124946613","0.060704227035246416","0.041412532436132445","0.1730447740470394","x4=v3_x5=v1_class=class3","0.001215775779138617","x4=v4_x5=v5_class=class1"
"x3_x5_class","0.3255797796070704","0.06848864765309048","0.053467543957431814","0.20917615426065933","x3=v1_x5=v5_class=class3","0.0033681964965460998","x3=v3_x5=v1_class=class3"
"x3_x4_class","0.3414015418806694","0.06998424109843489","0.0593014055613684","0.305088321214816","x3=v1_x4=v3_class=class3","2.344175223300271E-4","x3=v2_x4=v1_class=class4"
"x2_x5_class","0.3420804387593752","0.0783194885395015","0.07492454267806015","0.3724188790560472","x2=v1_x5=v5_class=class2","2.5965075558853634E-4","x2=v1_x5=v1_class=class5"
"x1_x5_class","0.3615265892046286","0.07336265007186432","0.12959396024810696","0.5","x1=v1_x5=v1_class=class3","0.0","x1=v1_x5=v1_class=class1"
"x2_x4_class","0.38096851752805333","0.08278836864330422","0.07724664515870322","0.3938953488372093","x2=v1_x4=v1_class=class2","8.61870467502121E-4","x2=v5_x4=v2_class=class1"
"x1_x4_class","0.3992974551747455","0.08163800776211595","0.13003640396665717","0.5","x1=v1_x4=v1_class=class3","0.0","x1=v1_x4=v1_class=class1"
"x2_x3_class","0.40021329482635604","0.08502448491968563","0.08894075338683365","0.404076057937128","x2=v3_x3=v1_class=class3","0.0","x2=v3_x3=v1_class=class5"
"x1_x3_class","0.44713286451764256","0.08838766403404379","0.13448527155508622","0.5","x1=v1_x3=v4_class=class3","0.0","x1=v1_x3=v1_class=class1"
"x1_x2_class","0.4679916338894309","0.09931876980839854","0.16062597173226906","0.5","x1=v1_x2=v1_class=class3","0.0","x1=v1_x2=v1_class=class1"
