"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_class","x4=v1","0.1673395","0.22406976193483846","0.04481395238696773","0.04453317002260585","0.0997663064481592","class=class5","0.0031334327212501206","class=class3"
"x4_class","x4=v5","0.368964","0.19800454393485054","0.03960090878697011","0.03645141036481392","0.08759742803575876","class=class5","0.005817992148694273","class=class1"
"x4_class","x4=v4","0.09956350000000001","0.1829835314202972","0.03659670628405944","0.04177270705205693","0.08800147034450898","class=class5","1.9488538839412817E-4","class=class1"
"x4_class","x4=v3","0.28763050000000007","0.2329862895437215","0.04659725790874428","0.042036940822404854","0.10544402010315673","class=class5","0.004094179008760683","class=class3"
"x4_class","x4=v2","0.07650250000000001","0.19890753786031148","0.039781507572062294","0.037336015879670906","0.08811333756583417","class=class2","0.003544884080030314","class=class3"
"x5_class","x5=v1","0.15721350000000003","0.25117349709504827","0.05023469941900965","0.03207212723714891","0.0948855381757959","class=class2","0.003267375311428594","class=class4"
"x5_class","x5=v2","0.18629099999999998","0.30339325865805494","0.060678651731611","0.056853168365530206","0.14720386833056967","class=class5","5.66131787790275E-4","class=class4"
"x5_class","x5=v3","0.19264149999999997","0.1809662349118792","0.036193246982375825","0.03407201020500909","0.09022160958200373","class=class2","2.615078739358692E-4","class=class3"
"x5_class","x5=v4","0.20874700000000002","0.16239334254631563","0.03247866850926313","0.02828970888979455","0.07285599603994537","class=class2","0.0036616928922157954","class=class1"
"x5_class","x5=v5","0.2551069999999999","0.2678649757968855","0.05357299515937711","0.04761020959022049","0.12801877807428286","class=class5","0.0021984389004750284","class=class3"
"x3_class","x3=v1","0.20747949999999998","0.22589213202434738","0.04517842640486947","0.04284931218005411","0.11294606601217366","class=class5","0.006198530355129586","class=class2"
"x3_class","x3=v3","0.128287","0.10896356180605912","0.02179271236121183","0.02402412481950873","0.053330227118197654","class=class2","0.0011515537848318935","class=class3"
"x3_class","x3=v5","0.11836450000000001","0.30441656138621837","0.06088331227724368","0.05459040924766341","0.14673093937952586","class=class2","0.005477341313583347","class=class3"
"x3_class","x3=v2","0.1155535","0.37555992657457693","0.07511198531491538","0.0694924942559112","0.18777996328728844","class=class2","0.002280123840296182","class=class4"
"x3_class","x3=v4","0.43031549999999996","0.2324095860382845","0.046481917207656896","0.04321102249222075","0.10626751786433433","class=class5","0.008217027219476456","class=class3"
"x2_class","x2=v1","0.6051845","0.33781809573765337","0.06756361914753063","0.06163139218687096","0.16015905613914025","class=class5","0.0","class=class3"
"x2_class","x2=v5","0.08661549999999998","0.1583240897811391","0.03166481795622782","0.024131223950328556","0.07096510589215442","class=class1","0.005181431701534331","class=class5"
"x2_class","x2=v2","0.017642500000000002","0.26637105861961224","0.053274211723922466","0.030194764676663537","0.08734760772256346","class=class2","3.3066752769217445E-4","class=class5"
"x2_class","x2=v3","0.080399","0.22082870728877774","0.04416574145775553","0.01954921067299929","0.06837333159895286","class=class2","0.013814362980873483","class=class3"
"x2_class","x2=v4","0.21015849999999997","0.1714428420592493","0.034288568411849865","0.023314738550754607","0.06850956795898039","class=class1","0.005634702466337169","class=class5"
"x1_class","x1=v1","0.144902","1.0","0.2","0.24743582965269678","0.5","class=class1","0.0","class=class3"
"x1_class","x1=v2","0.33774950000000004","0.662235298490228","0.1324470596980456","0.14056539072422455","0.3073915213923191","class=class1","0.00967328569732287","class=class4"
"x1_class","x1=v3","0.07761499999999999","0.638863985645618","0.12777279712912354","0.13155005134622463","0.29532885791544233","class=class1","0.014327438357203758","class=class5"
"x1_class","x1=v4","0.0175305","0.6094654388543004","0.12189308777086007","0.14852312573460313","0.30250780417040124","class=class4","9.233719888894695E-4","class=class1"
"x1_class","x1=v5","0.422203","0.0012970449282853798","2.5940898565707596E-4","2.3243506173259627E-4","6.485224641426882E-4","class=class3","3.2140856333486706E-5","class=class2"
