"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_x5_class","class=class1","0.5157615","0.07783569840648562","0.003113427936259425","0.0024483793418622075","0.010494098525237625","x4=v5_x5=v5","4.416274420539785E-4","x4=v2_x5=v4"
"x4_x5_class","class=class2","0.15188500000000002","0.1587901061397682","0.006351604245590727","0.007648401710210439","0.03832627762013915","x4=v5_x5=v1","1.4564371536733914E-4","x4=v2_x5=v5"
"x4_x5_class","class=class3","0.07735950000000001","0.12301972393898894","0.0049207889575595635","0.00825388849404912","0.04265947430551923","x4=v5_x5=v1","6.271937205717948E-6","x4=v5_x5=v5"
"x4_x5_class","class=class4","0.07264999999999999","0.17978023400017223","0.007191209360006899","0.006079247509013682","0.02614138763851401","x4=v5_x5=v4","3.5307300241656236E-5","x4=v5_x5=v5"
"x4_x5_class","class=class5","0.18234400000000003","0.2238125732254283","0.008952502929017132","0.010615521702340532","0.0453373171196885","x4=v5_x5=v4","1.8357058277742103E-5","x4=v4_x5=v1"
"x3_x4_class","class=class1","0.5157615","0.08132343663187948","0.0032529374652751804","0.0027643478778677216","0.010760623830128033","x3=v1_x4=v5","9.393609917934462E-5","x3=v4_x4=v4"
"x3_x4_class","class=class2","0.15188500000000002","0.34593128658554567","0.013837251463421817","0.010430760704337105","0.04170139275048623","x3=v1_x4=v5","0.0019282327660908004","x3=v4_x4=v4"
"x3_x4_class","class=class3","0.07735950000000001","0.12095943736946727","0.004838377494778688","0.008587404204187282","0.04104972813204718","x3=v4_x4=v5","1.974788147507127E-4","x3=v3_x4=v4"
"x3_x4_class","class=class4","0.07264999999999999","0.2207782724940226","0.008831130899760904","0.0077667667015889905","0.03152551121994161","x3=v5_x4=v5","2.8658909294923887E-4","x3=v4_x4=v4"
"x3_x4_class","class=class5","0.18234400000000003","0.144321206254466","0.005772848250178646","0.004617012734046341","0.019545818689568787","x3=v5_x4=v5","9.121574320245136E-5","x3=v2_x4=v2"
"x3_x5_class","class=class1","0.5157615","0.211419154327196","0.00845676617308785","0.007573951348515134","0.03542927246165225","x3=v4_x5=v5","0.0010897211075420847","x3=v3_x5=v3"
"x3_x5_class","class=class2","0.15188500000000002","0.3398802624168428","0.013595210496673721","0.01225285397513588","0.050142581557598265","x3=v1_x5=v1","4.450384899132992E-5","x3=v5_x5=v2"
"x3_x5_class","class=class3","0.07735950000000001","0.1642720516707376","0.006570882066829508","0.007014962314607626","0.02771571070476513","x3=v4_x5=v1","2.0460936244921096E-4","x3=v5_x5=v2"
"x3_x5_class","class=class4","0.07264999999999999","0.229116601400513","0.009164664056020512","0.008511161920528655","0.03736487256798344","x3=v4_x5=v4","1.8505621862065311E-4","x3=v2_x5=v2"
"x3_x5_class","class=class5","0.18234400000000003","0.37221018149001056","0.014888407259600412","0.015460244444084966","0.064850011209479","x3=v4_x5=v5","1.0735804698387046E-4","x3=v3_x5=v1"
"x2_x4_class","class=class1","0.5157615","0.10999879240777524","0.00439995169631101","0.005159611099997926","0.020537861737605134","x2=v1_x4=v5","9.790684203541322E-5","x2=v2_x4=v1"
"x2_x4_class","class=class2","0.15188500000000002","0.5703115437510576","0.022812461750042316","0.028672348279632155","0.10436072282373504","x2=v1_x4=v5","6.195964239387973E-5","x2=v3_x4=v2"
"x2_x4_class","class=class3","0.07735950000000001","0.16180295914878948","0.006472118365951581","0.008686928282795754","0.03895482067107692","x2=v4_x4=v5","0.0","x2=v1_x4=v1"
"x2_x4_class","class=class4","0.07264999999999999","0.24022238972426718","0.009608895588970694","0.00730896844218573","0.0276282739892724","x2=v5_x4=v5","5.7843661020969E-4","x2=v4_x4=v3"
"x2_x4_class","class=class5","0.18234400000000003","0.6180876682596645","0.024723506730386594","0.0273336440553825","0.11389959017243584","x2=v1_x4=v5","1.9874419066018495E-4","x2=v2_x4=v1"
