"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x1_x3_x5","0.004102","3.2815999999999965E-5","3.181697660055087E-5","1.3749999999999873E-4","x1=v5_x3=v3_x5=v5","0.0","x1=v3_x3=v2_x5=v2"
"x1_x2_x5","0.0045409999999999956","3.6327999999999975E-5","3.9336831660163666E-5","2.0449999999999982E-4","x1=v5_x2=v4_x5=v3","4.999999999999579E-7","x1=v5_x2=v2_x5=v5"
"x1_x2_x3","0.0047530000000000055","3.833064516129044E-5","4.975342295388965E-5","3.584999999999977E-4","x1=v5_x2=v1_x3=v3","0.0","x1=v3_x2=v1_x3=v2"
"x1_x2_x4","0.0047979999999999984","3.838400000000013E-5","4.8888164069321026E-5","2.655000000000001E-4","x1=v2_x2=v4_x4=v3","9.999999999999972E-7","x1=v4_x2=v3_x4=v1"
"x2_x3_x4","0.004848","3.878400000000009E-5","4.925474767100651E-5","3.165000000000008E-4","x2=v1_x3=v1_x4=v5","4.999999999999986E-7","x2=v2_x3=v3_x4=v2"
"x2_x3_x5","0.004883000000000007","3.906399999999999E-5","4.356276018872331E-5","1.9699999999999926E-4","x2=v1_x3=v3_x5=v5","0.0","x2=v1_x3=v4_x5=v2"
"x3_x4_x5","0.005388999999999995","4.311199999999982E-5","3.916823683319553E-5","2.3499999999999997E-4","x3=v5_x4=v3_x5=v3","1.4999999999999823E-6","x3=v1_x4=v2_x5=v3"
"x1_x3_x4","0.005465000000000001","4.372000000000002E-5","5.846297919152553E-5","3.794999999999979E-4","x1=v2_x3=v4_x4=v3","0.0","x1=v4_x3=v4_x4=v2"
"x2_x4_x5","0.005511999999999987","4.409599999999986E-5","5.607468484284292E-5","4.4399999999999995E-4","x2=v1_x4=v3_x5=v3","5.000000000000122E-7","x2=v2_x4=v1_x5=v2"
"x1_x4_x5","0.005574999999999998","4.459999999999997E-5","5.454466148099968E-5","3.259999999999999E-4","x1=v5_x4=v3_x5=v4","0.0","x1=v4_x4=v5_x5=v1"
