"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x2_x4_x5_class","0.34136299999999986","5.461808000000023E-4","0.0012083446609318451","0.011441","x2=v1_x4=v5_x5=v5_class=class5","0.0","x2=v1_x4=v1_x5=v1_class=class3"
"x3_x4_x5_class","0.34489000000000003","5.51824E-4","9.583776319664769E-4","0.0107045","x3=v4_x4=v5_x5=v5_class=class5","0.0","x3=v2_x4=v2_x5=v2_class=class3"
"x2_x3_x4_class","0.3534229999999999","5.654768000000031E-4","0.0014246042614810873","0.0162455","x2=v1_x3=v4_x4=v5_class=class5","0.0","x2=v1_x3=v1_x4=v1_class=class3"
"x2_x3_x5_class","0.4097789999999998","6.556464000000032E-4","0.0019187076774827558","0.0239025","x2=v1_x3=v4_x5=v5_class=class5","0.0","x2=v1_x3=v1_x5=v1_class=class3"
"x1_x4_x5_class","0.45906199999999975","7.344991999999974E-4","0.0016798691581374843","0.014476","x1=v2_x4=v5_x5=v5_class=class1","0.0","x1=v1_x4=v1_x5=v1_class=class3"
"x1_x3_x4_class","0.46429599999999926","7.428736000000012E-4","0.0019488412837372921","0.017677","x1=v2_x3=v4_x4=v5_class=class5","0.0","x1=v1_x3=v1_x4=v1_class=class3"
"x1_x3_x5_class","0.47173699999999996","7.547792000000029E-4","0.002269608833065349","0.026935499999999998","x1=v2_x3=v4_x5=v5_class=class1","0.0","x1=v1_x3=v1_x5=v1_class=class3"
"x1_x2_x5_class","0.485572","7.769152000000021E-4","0.003091989381311408","0.032485","x1=v2_x2=v1_x5=v5_class=class1","0.0","x1=v1_x2=v1_x5=v1_class=class3"
"x1_x2_x4_class","0.49256999999999984","7.881120000000003E-4","0.0032789199426052004","0.037823","x1=v2_x2=v1_x4=v5_class=class1","0.0","x1=v1_x2=v1_x4=v1_class=class3"
"x1_x2_x3_class","0.4946179999999999","7.977709677419348E-4","0.0035899294562049527","0.0460385","x1=v2_x2=v1_x3=v4_class=class1","0.0","x1=v1_x2=v1_x3=v1_class=class3"
