"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x3_x4_x5_class","0.300489994175336","0.002674812390421083","0.003787604401208937","0.034498370882717906","x3=v4_x4=v5_x5=v5_class=class5","0.0","x3=v2_x4=v2_x5=v2_class=class3"
"x2_x4_x5_class","0.3338448956693104","0.0032595228335864914","0.005485682691778382","0.05276488195023605","x2=v4_x4=v5_x5=v1_class=class2","0.0","x2=v1_x4=v1_x5=v1_class=class3"
"x2_x3_x4_class","0.34130905116272026","0.003437989082798017","0.006564364027177151","0.05392654009629803","x2=v1_x3=v4_x4=v5_class=class5","0.0","x2=v1_x3=v1_x4=v1_class=class3"
"x2_x3_x5_class","0.41196020728554084","0.0037093154253662044","0.007605001420449463","0.08098380668993678","x2=v1_x3=v4_x5=v5_class=class5","0.0","x2=v1_x3=v1_x5=v1_class=class3"
"x1_x4_x5_class","0.4563520595090692","0.0035732415355028413","0.006143248815148194","0.06687267194659618","x1=v2_x4=v5_x5=v1_class=class2","0.0","x1=v1_x4=v1_x5=v1_class=class3"
"x1_x3_x4_class","0.45721545272973285","0.003608431089150137","0.007307408648105916","0.06704063639834723","x1=v2_x3=v4_x4=v5_class=class2","0.0","x1=v3_x3=v2_x4=v5_class=class2"
"x1_x3_x5_class","0.47333025743004875","0.0037267956651160098","0.007857834085738778","0.08437782152530597","x1=v2_x3=v4_x5=v5_class=class5","0.0","x1=v4_x3=v1_x5=v2_class=class1"
"x1_x2_x5_class","0.5203583757802066","0.004125710818178494","0.010900322501677833","0.1173312079578684","x1=v2_x2=v1_x5=v5_class=class5","0.0","x1=v4_x2=v1_x5=v1_class=class1"
"x1_x2_x3_class","0.5264551105843168","0.00439556011126657","0.014022862180394289","0.1663503905558146","x1=v2_x2=v1_x3=v4_class=class5","0.0","x1=v4_x2=v1_x3=v1_class=class1"
"x1_x2_x4_class","0.5268632943498066","0.004209838818738354","0.011346884170353488","0.13597136034430712","x1=v2_x2=v1_x4=v5_class=class5","0.0","x1=v4_x2=v1_x4=v1_class=class1"
