"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x2_x4_x5_class","0.3413647093401194","0.06804643544799603","0.05603880774490986","0.25782801242873243","x2=v3_x4=v5_x5=v3_class=class5","0.0","x2=v1_x4=v1_x5=v1_class=class3"
"x3_x4_x5_class","0.34470161220721707","0.07173863037415956","0.07886293488293676","0.34977198363498585","x3=v2_x4=v5_x5=v2_class=class5","0.0","x3=v2_x4=v2_x5=v2_class=class3"
"x2_x3_x4_class","0.35282213547772934","0.07412277239274645","0.07470005119673451","0.30331478698535375","x2=v4_x3=v2_x4=v4_class=class2","0.0","x2=v1_x3=v1_x4=v1_class=class3"
"x2_x3_x5_class","0.40956979766388957","0.07860335337347386","0.09433194426700699","0.48415841584158414","x2=v2_x3=v1_x5=v4_class=class4","0.0","x2=v1_x3=v1_x5=v1_class=class3"
"x1_x4_x5_class","0.4578607528851265","0.12051558025556076","0.16499680711963846","0.5","x1=v1_x4=v1_x5=v1_class=class1","0.0","x1=v1_x4=v1_x5=v1_class=class3"
"x1_x3_x4_class","0.46357377537758737","0.1260349902507116","0.1669226892180308","0.5","x1=v1_x3=v1_x4=v1_class=class1","0.0","x1=v1_x3=v1_x4=v1_class=class3"
"x1_x3_x5_class","0.4712552733323413","0.11979853093783552","0.1701501360963302","0.5","x1=v1_x3=v1_x5=v1_class=class1","0.0","x1=v1_x3=v1_x5=v1_class=class3"
"x1_x2_x5_class","0.48482984942521246","0.10021431445928347","0.16589655288259383","0.5","x1=v1_x2=v1_x5=v1_class=class1","0.0","x1=v1_x2=v1_x5=v1_class=class3"
"x1_x2_x4_class","0.49182415799949525","0.10228169623171929","0.16519832381245644","0.5","x1=v1_x2=v1_x4=v1_class=class1","0.0","x1=v1_x2=v1_x4=v1_class=class3"
"x1_x2_x3_class","0.4930562201500056","0.10771740554165911","0.18174208209302245","0.5","x1=v1_x2=v1_x3=v1_class=class1","0.0","x1=v1_x2=v1_x3=v1_class=class3"
