"Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"0.1478182291375655","2.7733251245321857E-4","9.98771539979712E-4","0.007853249999999999","x1=v1_x4=v5_x5=v2_class=class1","4.340277777777762E-8","x1=v4_x4=v3_x5=v1_class=class2","x1_x4_x5_class","*"
"0.19228732351897207","3.3267703030964024E-4","6.305347457441636E-4","0.003317870611418041","x2=v5_x3=v2_x5=v4_class=class1","4.962121212121211E-7","x2=v1_x3=v4_x5=v1_class=class5","x2_x3_x5_class","*"
"0.3003078223774536","6.091436559380398E-4","0.0022702797720770282","0.012262","x1=v1_x3=v2_x4=v4_class=class2","4.4696969696969697E-7","x1=v2_x3=v3_x4=v5_class=class3","x1_x3_x4_class","*"
"0.35593363090069813","7.687551423341212E-4","0.00450880542761371","0.041845","x1=v1_x2=v4_x5=v2_class=class1","0.0","x1=v5_x2=v1_x5=v2_class=class3","x1_x2_x5_class","*"
"0.3962970321892074","6.671667208572516E-4","0.002683838977624004","0.023214313349270495","x2=v5_x4=v4_x5=v2_class=class2","3.744339951236499E-7","x2=v2_x4=v2_x5=v3_class=class3","x2_x4_x5_class","*"
"0.4040403669272633","7.125932397306231E-4","0.0016337365854995887","0.00923716580709816","x2=v5_x3=v3_x4=v3_class=class2","5.709355791025774E-7","x2=v3_x3=v3_x4=v4_class=class4","x2_x3_x4_class","*"
"0.41521524479331035","9.006838281850549E-4","0.004029695536891324","0.03201475062002807","x1=v1_x2=v5_x4=v4_class=class2","0.0","x1=v4_x2=v1_x4=v1_class=class5","x1_x2_x4_class","*"
"0.41595398777791864","8.204220666231136E-4","0.004150957138873451","0.03103875","x1=v1_x3=v3_x5=v2_class=class2","3.4868189666198304E-8","x1=v5_x3=v5_x5=v5_class=class4","x1_x3_x5_class","*"
"0.4419200061645883","7.139256965502234E-4","0.0019141863146059893","0.011209662384163778","x3=v3_x4=v1_x5=v2_class=class2","0.0","x3=v4_x4=v2_x5=v1_class=class4","x3_x4_x5_class","*"
"0.6028462121971961","0.0014387737761269595","0.00497264940197906","0.025542500117421426","x1=v1_x2=v5_x3=v1_class=class1","0.0","x1=v4_x2=v1_x3=v1_class=class5","x1_x2_x3_class","*"
