"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"band3","1.2148734649043702E-4","2.4297469298087405E-5","2.101384357343213E-5","5.973964558828038E-5","band3='(122.995144-inf)'","1.0040276569450723E-6","band3='(-inf-58.821674]'"
"band4","2.9016399285734795E-4","5.803279857146959E-5","6.46693009897796E-5","1.4508199642866704E-4","band4='(106.583801-145.994385]'","2.0080553138901447E-6","band4='(-inf-50.064308]'"
"NDVI","3.935788415227459E-4","7.871576830454918E-5","6.176902052348668E-5","1.6265248042522662E-4","NDVI='(633.000122-745.400879]'","2.5100691422585975E-7","NDVI='(745.400879-inf)'"
"brightness","4.2420168505963307E-4","8.484033701192662E-5","5.7752076999753726E-5","1.79469943679067E-4","brightness='(-inf-387.999939]'","3.2630898850749546E-5","brightness='(539.000122-inf)'"
"NDWI","7.670771299066181E-4","1.5341542598132363E-4","7.56561349382697E-5","2.5602705252118774E-4","NDWI='(-101.21436-16.886048]'","7.530207427093594E-5","NDWI='(16.886048-inf)'"
"band1","0.0014176870516075107","2.8353741032150214E-4","3.079414584934244E-4","6.699374540971026E-4","band1='(66.005207-inf)'","1.4809407939950225E-5","band1='(39.725513-51.464583]'"
"band6","0.0014437917706881243","2.8875835413762484E-4","1.03624736468671E-4","4.224446366599688E-4","band6='(158.75103-197.004852]'","1.0492089015083639E-4","band6='(197.004852-237.391945]'"
"band5","0.0017269275699468567","3.4538551398937133E-4","2.7795325333904955E-4","7.357012656270673E-4","band5='(-inf-267.994385]'","7.028193598629384E-6","band5='(333.796493-378.995148]'"
"band7","0.00221588903887944","4.43177807775888E-4","2.3816178886176695E-4","6.646663088981375E-4","band7='(115.654862-158.004852]'","6.526179770149909E-6","band7='(-inf-86.752438]'"
"band2","0.003952856885395761","7.905713770791523E-4","6.128448176586724E-4","0.0018368685983824046","band2='(33.004131-44.995146]'","1.395598443154622E-4","band2='(77.995144-inf)'"
