"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"band1_id_class","0.018430302497478634","0.0023033536396381555","0.0029617381697821794","0.01580195487403463","band1='(-inf-29.004854]'_id_class=wheat","2.711584040050556E-6","band1='(-inf-29.004854]'_id_class=other_oilseed"
"band2_id_class","0.023366216755039467","0.0029231680381440707","0.0036506561620913845","0.01688932986796815","band2='(-inf-33.004131]'_id_class=wheat","3.371579735581866E-6","band2='(-inf-33.004131]'_id_class=other_oilseed"
"brightness_id_class","0.024439294679678567","0.003054319508897469","0.003916849100779468","0.017958931496486807","brightness='(387.999939-432.632141]'_id_class=wheat","3.592303435173347E-5","brightness='(539.000122-inf)'_id_class=wheat"
"band7_id_class","0.025631498370496913","0.0032032441057356304","0.0038734884400657213","0.01456457816992876","band7='(115.654862-158.004852]'_id_class=wheat","4.12393768726288E-6","band7='(222.872788-inf)'_id_class=barley"
"band3_id_class","0.025865271260876906","0.0032340621446926726","0.00450493353284349","0.018965581166105527","band3='(-inf-58.821674]'_id_class=wheat","1.1674320478214859E-5","band3='(75.798878-95.004856]'_id_class=other_leguminous"
"band6_id_class","0.02680627240168871","0.0033493597487906494","0.003993459521701406","0.01402479750778643","band6='(237.391945-294.903275]'_id_class=maize","1.0368849280539523E-5","band6='(-inf-158.75103]'_id_class=other_oilseed"
"NDWI_id_class","0.03315501825371824","0.004144390841210305","0.004468683153756078","0.01680314121316194","NDWI='(-101.21436-16.886048]'_id_class=wheat","3.133345847657477E-5","NDWI='(-inf--367.000061]'_id_class=other_oilseed"
"band4_id_class","0.04080552596108227","0.0051010562391730786","0.00592882658813979","0.025198542054807815","band4='(-inf-50.064308]'_id_class=wheat","1.555766498858224E-4","band4='(-inf-50.064308]'_id_class=other_oilseed"
"NDVI_id_class","0.04544343837384746","0.005680335043056296","0.006711680897970171","0.023943596137162543","NDVI='(452.591796-633.000122]'_id_class=wheat","1.9278211610095075E-6","NDVI='(-inf-311.001129]'_id_class=other_oilseed"
"band5_id_class","0.05834194878187382","0.007293835727240529","0.010072577962051377","0.04167746238876208","band5='(333.796493-378.995148]'_id_class=wheat","5.9212088157073114E-5","band5='(302.004852-333.796493]'_id_class=other_oilseed"
