"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"band3_band1_band2_id_class","0.20359321417867776","3.029660925277933E-4","0.001631195710969118","0.022390318763720662","band3='(117.708538-inf)'_band1='(62.004854-inf)'_band2='(75.004131-inf)'_id_class=wheat","0.0","band3='(68.267952-82.995537]'_band1='(-inf-36.995535]'_band2='(51.974678-61.995869]'_id_class=rapeseed"
"band4_band1_band2_id_class","0.2166867388529084","3.343931155137459E-4","0.0016240996648138953","0.021954570760606175","band4='(146.248596-inf)'_band1='(62.004854-inf)'_band2='(75.004131-inf)'_id_class=wheat","0.0","band4='(62.004854-87.004463]'_band1='(62.004854-inf)'_band2='(51.974678-61.995869]'_id_class=rapeseed"
"band3_band4_band2_id_class","0.22312858029987287","2.9990400577939756E-4","0.001614878117574538","0.026352713911857416","band3='(117.708538-inf)'_band4='(146.248596-inf)'_band2='(75.004131-inf)'_id_class=wheat","0.0","band3='(82.995537-96.995144]'_band4='(146.248596-inf)'_band2='(-inf-41.80104]'_id_class=rapeseed"
"band5_band1_band2_id_class","0.22669840063414365","2.833730007926799E-4","9.398660412980336E-4","0.014611363484618547","band5='(383.502426-inf)'_band1='(-inf-36.995535]'_band2='(-inf-41.80104]'_id_class=maize","0.0","band5='(269.18599-308.004852]'_band1='(62.004854-inf)'_band2='(51.974678-61.995869]'_id_class=rapeseed"
"brightness_band3_band2_id_class","0.2284509309093427","2.549675568184611E-4","0.0012245536371877682","0.022358942899441108","brightness='(553.317902-inf)'_band3='(117.708538-inf)'_band2='(75.004131-inf)'_id_class=wheat","0.0","brightness='(553.317902-inf)'_band3='(117.708538-inf)'_band2='(41.80104-51.974678]'_id_class=rapeseed"
"NDVI_band1_band2_id_class","0.231978582082022","3.186518984643152E-4","0.0014861634491045534","0.021146077489850534","NDVI='(-inf-335.490341]'_band1='(62.004854-inf)'_band2='(75.004131-inf)'_id_class=wheat","0.0","NDVI='(560.621033-701.000061]'_band1='(62.004854-inf)'_band2='(51.974678-61.995869]'_id_class=rapeseed"
"band5_band3_band2_id_class","0.23209956741468368","2.6137338672824694E-4","9.716027967132371E-4","0.015406804395833888","band5='(383.502426-inf)'_band3='(-inf-68.267952]'_band2='(-inf-41.80104]'_id_class=maize","0.0","band5='(-inf-269.18599]'_band3='(82.995537-96.995144]'_band2='(75.004131-inf)'_id_class=other_oilseed"
"band3_band4_band1_id_class","0.23470301112914455","2.8483375137031944E-4","0.0014193692386819067","0.02216466354782209","band3='(117.708538-inf)'_band4='(146.248596-inf)'_band1='(62.004854-inf)'_id_class=wheat","0.0","band3='(82.995537-96.995144]'_band4='(146.248596-inf)'_band1='(-inf-36.995535]'_id_class=sunflower"
"brightness_band1_band2_id_class","0.23478584341084252","2.994717390444413E-4","0.0012707564948105411","0.019548167473821234","brightness='(553.317902-inf)'_band1='(62.004854-inf)'_band2='(75.004131-inf)'_id_class=wheat","0.0","brightness='(553.317902-inf)'_band1='(62.004854-inf)'_band2='(51.974678-61.995869]'_id_class=rapeseed"
"band3_NDVI_band2_id_class","0.24011120610328324","2.753568877331224E-4","0.0014167378676180154","0.0249089221411693","band3='(117.708538-inf)'_NDVI='(-inf-335.490341]'_band2='(75.004131-inf)'_id_class=wheat","0.0","band3='(82.995537-96.995144]'_NDVI='(-inf-335.490341]'_band2='(75.004131-inf)'_id_class=wheat"
