"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"band4_NDVI_id_class","0.13180473469322188","0.005309086442736014","0.008917664120632076","0.05181816586925847","band4='(84.004856-117.861615]'_NDVI='(443.570358-600.0065]'_id_class=sunflower","0.0","band4='(84.004856-117.861615]'_NDVI='(741.999024-inf)'_id_class=rapeseed"
"band3_band4_id_class","0.13266468438139592","0.005277521540145199","0.00838633778454953","0.04177558452234455","band3='(84.004131-100.751034]'_band4='(84.004856-117.861615]'_id_class=sunflower","0.0","band3='(121.995869-inf)'_band4='(55.076931-84.004856]'_id_class=rapeseed"
"band3_band2_id_class","0.13695489455952553","0.005377553900210114","0.00860991364507326","0.045608467558841126","band3='(-inf-66.502068]'_band2='(-inf-39.748787]'_id_class=maize","0.0","band3='(66.502068-84.004131]'_band2='(77.995537-inf)'_id_class=rapeseed"
"NDWI_band4_id_class","0.13710851079103828","0.0056277522421637055","0.009300964426276873","0.05825745033112584","NDWI='(31.876227-inf)'_band4='(155.992188-inf)'_id_class=other_leguminous","0.0","NDWI='(31.876227-inf)'_band4='(-inf-55.076931]'_id_class=rapeseed"
"NDWI_NDVI_id_class","0.13835551314096503","0.005732146258781683","0.0100821643409695","0.06539735099337748","NDWI='(31.876227-inf)'_NDVI='(-inf-311.549469]'_id_class=other_leguminous","0.0","NDWI='(-323.518921--190.00045]'_NDVI='(-inf-311.549469]'_id_class=rapeseed"
"band6_brightness_id_class","0.1384830246533971","0.005139129037586915","0.007390138671091822","0.047599602620609055","band6='(324.74878-inf)'_brightness='(560.000213-inf)'_id_class=wheat","0.0","band6='(324.74878-inf)'_brightness='(425.999801-466.00003]'_id_class=rapeseed"
"band3_NDVI_id_class","0.14269241060514254","0.0049719578742366","0.007645998049239638","0.043361555178370675","band3='(-inf-66.502068]'_NDVI='(741.999024-inf)'_id_class=maize","0.0","band3='(121.995869-inf)'_NDVI='(741.999024-inf)'_id_class=rapeseed"
"brightness_band4_id_class","0.14417234737148069","0.004879646708239628","0.006671728119808604","0.04035004738110942","brightness='(560.000213-inf)'_band4='(155.992188-inf)'_id_class=wheat","0.0","brightness='(-inf-425.999801]'_band4='(155.992188-inf)'_id_class=sunflower"
"band3_NDWI_id_class","0.1453104127206288","0.005771894937350559","0.008225803250144466","0.05212275307473983","band3='(121.995869-inf)'_NDWI='(31.876227-inf)'_id_class=other_leguminous","0.0","band3='(121.995869-inf)'_NDWI='(-inf--323.518921]'_id_class=rapeseed"
"band6_band3_id_class","0.14556894984229232","0.00524451720785194","0.007488047792777358","0.03815813504596871","band6='(-inf-189.995865]'_band3='(-inf-66.502068]'_id_class=maize","0.0","band6='(324.74878-inf)'_band3='(-inf-66.502068]'_id_class=rapeseed"
