"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"band3_id_class","band3='(-inf-54.003906]'","0.200821846838593","0.058927314430869945","0.007365914303858743","0.007708003280844609","0.024536520721446686","id_class=maize","6.714613978218403E-4","id_class=other_leguminous"
"band3_id_class","band3='(54.003906-77.947727]'","0.19979497755245165","0.02965305870659512","0.0037066323383243916","0.003402496868643257","0.009385133296170689","id_class=wheat","5.371960063722423E-4","id_class=other_leguminous"
"band3_id_class","band3='(77.947727-99.006248]'","0.20043855928055393","0.06157559475884787","0.007696949344855986","0.009806970336984862","0.026033244315836868","id_class=sunflower","5.45026850603883E-5","id_class=other_annual"
"band3_id_class","band3='(99.006248-120.996094]'","0.19929195969632182","0.03099280284249028","0.0038741003553112844","0.003683791906630542","0.0110752620973","id_class=maize","9.020511915376964E-5","id_class=other_leguminous"
"band3_id_class","band3='(120.996094-inf)'","0.19965265663207957","0.058121676399397096","0.007265209549924635","0.009187254518194075","0.026732887988642318","id_class=wheat","4.8159433049016313E-4","id_class=other_oilseed"
"band1_id_class","band1='(-inf-23.247806]'","0.19861650009011148","0.057114264334323164","0.007139283041790394","0.008032806858901714","0.025542504455725923","id_class=maize","9.50919221529861E-4","id_class=other_leguminous"
"band1_id_class","band1='(45.993749-58.992958]'","0.20105528326883298","0.042114851291900936","0.005264356411487617","0.004965039295109761","0.015258965739969765","id_class=wheat","1.963967583240838E-5","id_class=other_oilseed"
"band1_id_class","band1='(58.992958-inf)'","0.20226413256779568","0.05574463958121867","0.006968079947652336","0.007005081847352023","0.019394732053797048","id_class=wheat","1.7266145605915372E-4","id_class=other_oilseed"
"band1_id_class","band1='(23.247806-34.497191]'","0.20024829603956268","0.046133919367763614","0.0057667399209704534","0.006406418095630725","0.018770637360311038","id_class=sunflower","1.2213670430088162E-4","id_class=other_leguminous"
"band1_id_class","band1='(34.497191-45.993749]'","0.1978157880336972","0.042392783375284335","0.0052990979219105444","0.00673155049229986","0.019363276729171514","id_class=sunflower","2.3505512742311857E-4","id_class=other_oilseed"
"band2_id_class","band2='(-inf-27.888195]'","0.20000055221521135","0.052916501736541846","0.006614562717067734","0.006835570645570182","0.021941650820407888","id_class=maize","8.244934172150426E-4","id_class=other_leguminous"
"band2_id_class","band2='(42.993749-57.635084]'","0.19989412528357506","0.06433750543565728","0.00804218817945716","0.010994285325463935","0.03126932669243268","id_class=sunflower","3.38051230134263E-4","id_class=other_leguminous"
"band2_id_class","band2='(74.992958-inf)'","0.200637105749715","0.06613636667914431","0.008267045834893036","0.009919840475483476","0.028726124218882154","id_class=wheat","3.1070639682928645E-4","id_class=other_oilseed"
"band2_id_class","band2='(57.635084-74.992958]'","0.19878643177104954","0.04639876024198674","0.005799845030248348","0.005441176997688221","0.014312058597618416","id_class=wheat","1.1360023138145148E-4","id_class=other_oilseed"
"band2_id_class","band2='(27.888195-42.993749]'","0.20068178498044903","0.04474756968292992","0.00559344621036624","0.005355503994282324","0.016195942939849814","id_class=wheat","2.762810843954227E-4","id_class=other_leguminous"
"band4_id_class","band4='(-inf-40.495613]'","0.2000871496006229","0.05090142094885659","0.006362677618607068","0.006471279979654374","0.020449266286685475","id_class=maize","8.512694897990841E-4","id_class=other_leguminous"
"band4_id_class","band4='(75.561249-112.146431]'","0.199984236765786","0.0641544896176844","0.008019311202210552","0.010246561068301872","0.02891565214102193","id_class=sunflower","2.2711877896867266E-4","id_class=barley"
"band4_id_class","band4='(153.010414-inf)'","0.1994264994023525","0.08763638328111358","0.010954547910139195","0.013650775162437909","0.03881473419549636","id_class=wheat","5.183806063508325E-4","id_class=other_oilseed"
"band4_id_class","band4='(40.495613-75.561249]'","0.19997570253070188","0.06021352574644277","0.007526690718305346","0.009146736265269052","0.02379730454652476","id_class=sunflower","6.140916995224163E-5","id_class=other_leguminous"
"band4_id_class","band4='(112.146431-153.010414]'","0.2005264117005367","0.054799601888934124","0.006849950236116764","0.006525956086776198","0.018951736385036444","id_class=sunflower","2.571958283150589E-4","id_class=other_annual"
"band7_id_class","band7='(-inf-83.009804]'","0.20078043069774404","0.04007087034198114","0.005008858792747645","0.005434526970908318","0.016160624388875222","id_class=maize","5.618342414676115E-4","id_class=other_leguminous"
"band7_id_class","band7='(83.009804-123.096874]'","0.1998120460226198","0.0784080881318887","0.009801011016486085","0.012365083445236033","0.03453687631504798","id_class=sunflower","2.9143733151176625E-6","id_class=other_leguminous"
"band7_id_class","band7='(123.096874-173.251762]'","0.1998328795965014","0.05243261415018846","0.006554076768773555","0.008974907718899921","0.023550205713407907","id_class=wheat","3.0771047738048507E-4","id_class=barley"
"band7_id_class","band7='(173.251762-224.992188]'","0.19957911160620828","0.06980271194395368","0.008725338992994207","0.009423846353904837","0.024668657137817074","id_class=sunflower","7.838039629415954E-4","id_class=other_oilseed"
"band7_id_class","band7='(224.992188-inf)'","0.19999553207692664","0.08754540759985653","0.010943175949982066","0.013281932532229038","0.03803752655852527","id_class=wheat","3.55262522236127E-4","id_class=other_oilseed"
"NDVI_id_class","NDVI='(803.808533-inf)'","0.19996792131636057","0.042536118673410055","0.005317014834176253","0.005889207157787155","0.017542180370090532","id_class=maize","7.748564660489884E-4","id_class=other_annual"
"NDVI_id_class","NDVI='(-inf-276.998855]'","0.19997344346847382","0.12656260409774084","0.015820325512217615","0.022021806862691385","0.056141547759652466","id_class=sunflower","1.0495981970913212E-4","id_class=other_leguminous"
"NDVI_id_class","NDVI='(626.570801-803.808533]'","0.19996817232327482","0.08367689047025431","0.010459611308781789","0.014413146830527338","0.03971862509585958","id_class=sunflower","8.320945476453581E-5","id_class=other_oilseed"
"NDVI_id_class","NDVI='(445.000122-626.570801]'","0.19996792131636057","0.08895743927805712","0.011119679909757138","0.01396715198475955","0.04073024692309021","id_class=sunflower","5.013093880744911E-4","id_class=other_leguminous"
"NDVI_id_class","NDVI='(276.998855-445.000122]'","0.20012254157553017","0.058938903818799196","0.007367362977349905","0.008012332404102575","0.022978001214877183","id_class=sunflower","8.091926872805279E-4","id_class=other_leguminous"
"band6_id_class","band6='(-inf-170.809761]'","0.19967549826127515","0.08998130015206605","0.011247662519008264","0.013573788832784851","0.04167026898629328","id_class=maize","6.882325446486625E-5","id_class=other_oilseed"
"band6_id_class","band6='(212.006248-265.509995]'","0.19995486895682027","0.06299020717622424","0.007873775897028031","0.008943444530864412","0.02327907183224473","id_class=sunflower","7.551153563862016E-4","id_class=other_oilseed"
"band6_id_class","band6='(320.992188-inf)'","0.20014939931535353","0.09151933827587756","0.011439917284484687","0.014427844907455828","0.045652921006685776","id_class=wheat","1.0674813125301219E-4","id_class=barley"
"band6_id_class","band6='(170.809761-212.006248]'","0.20054749628133256","0.09654123218318404","0.012067654022898016","0.014632873750922547","0.043012251992162465","id_class=sunflower","1.8711047276377072E-5","id_class=other_leguminous"
"band6_id_class","band6='(265.509995-320.992188]'","0.1996727371852185","0.0917982524865956","0.011474781560824454","0.009889987447955172","0.027259296064405233","id_class=sunflower","9.439738236095997E-4","id_class=other_oilseed"
"NDWI_id_class","NDWI='(-inf--378.000336]'","0.20002540189972073","0.0350078338862436","0.004375979235780451","0.004411509220332602","0.012970086466353087","id_class=sunflower","2.2411057277810925E-5","id_class=other_annual"
"NDWI_id_class","NDWI='(81.732525-inf)'","0.19994357364567963","0.1327000472001437","0.016587505900017965","0.02230432642729824","0.05510454802642767","id_class=wheat","3.5616786515410385E-4","id_class=other_oilseed"
"NDWI_id_class","NDWI='(-378.000336--216.986213]'","0.19999377502852697","0.095732363319433","0.011966545414929128","0.015386780869295848","0.043650120935836034","id_class=sunflower","5.398114150369053E-5","id_class=other_oilseed"
"NDWI_id_class","NDWI='(-216.986213--47.999558]'","0.20009342477347886","0.09410349334505798","0.011762936668132246","0.014751728355825286","0.038202229235522786","id_class=wheat","4.584932886141915E-4","id_class=other_leguminous"
"NDWI_id_class","NDWI='(-47.999558-81.732525]'","0.19994382465259392","0.09075948633147055","0.011344935791433823","0.012541757538515639","0.03812506074453416","id_class=sunflower","9.373868559302652E-4","id_class=other_oilseed"
"brightness_id_class","brightness='(-inf-417.99997]'","0.19973523790686334","0.12991362718619753","0.016239203398274688","0.018397784878733277","0.053592017444174356","id_class=maize","0.0010634255862743249","id_class=other_leguminous"
"brightness_id_class","brightness='(538.000061-inf)'","0.19946816655011582","0.0998643508244521","0.01248304385305651","0.016822298023414242","0.04614476246262994","id_class=wheat","5.571765876501295E-4","id_class=other_oilseed"
"brightness_id_class","brightness='(488.000016-538.000061]'","0.20038685185622124","0.1279271301685243","0.015990891271065538","0.02028759992327731","0.06211577259294156","id_class=maize","6.592117659864182E-4","id_class=other_leguminous"
"brightness_id_class","brightness='(453.798263-488.000016]'","0.20063785877045776","0.02460326688149104","0.003075408360186381","0.004349154472820433","0.011944798466802034","id_class=sunflower","3.6358776032204E-5","id_class=barley"
"brightness_id_class","brightness='(417.99997-453.798263]'","0.1997718849163419","0.0924336007588462","0.011554200094855773","0.016839332568066096","0.04512936940280757","id_class=maize","8.75566895100887E-5","id_class=other_oilseed"
"band5_id_class","band5='(-inf-267.552765]'","0.19999000992481336","0.1822832879965385","0.022785410999567293","0.02610883206557117","0.07489557459625391","id_class=sunflower","0.0012220738435758365","id_class=other_oilseed"
"band5_id_class","band5='(387.991928-inf)'","0.20000582336041028","0.0841989041381115","0.010524863017263937","0.012086164925017536","0.03879027305022465","id_class=sunflower","8.958276456576509E-4","id_class=other_leguminous"
